"Afghanistan","31","Area Harvested","1985","Ha","5750.00000","F "
"Afghanistan","41","Yield","1985","Hg/Ha","70782.00000","Fc"
"Afghanistan","51","Production Quantity","1985","tonnes","40700.00000","F "
"Albania","31","Area Harvested","1985","Ha","530.00000","F "
"Albania","41","Yield","1985","Hg/Ha","18867.00000","Fc"
"Albania","51","Production Quantity","1985","tonnes","1000.00000","F "
"Algeria","31","Area Harvested","1985","Ha","13000.00000","F "
"Algeria","41","Yield","1985","Hg/Ha","32621.00000","Fc"
"Algeria","51","Production Quantity","1985","tonnes","42408.00000",""
"Argentina","31","Area Harvested","1985","Ha","4250.00000",""
"Argentina","41","Yield","1985","Hg/Ha","60941.00000","Fc"
"Argentina","51","Production Quantity","1985","tonnes","25900.00000",""
"Australia","31","Area Harvested","1985","Ha","2380.00000","F "
"Australia","41","Yield","1985","Hg/Ha","102878.00000","Fc"
"Australia","51","Production Quantity","1985","tonnes","24485.00000",""
"Austria","31","Area Harvested","1985","Ha","2070.00000","F "
"Austria","41","Yield","1985","Hg/Ha","65574.00000","Fc"
"Austria","51","Production Quantity","1985","tonnes","13574.00000",""
"Bhutan","51","Production Quantity","1985","tonnes","0.00000","NR"
"Bulgaria","31","Area Harvested","1985","Ha","5911.00000",""
"Bulgaria","41","Yield","1985","Hg/Ha","96425.00000","Fc"
"Bulgaria","51","Production Quantity","1985","tonnes","56997.00000",""
"Cameroon","31","Area Harvested","1985","Ha","88.00000","F "
"Cameroon","41","Yield","1985","Hg/Ha","45454.00000","Fc"
"Cameroon","51","Production Quantity","1985","tonnes","400.00000","F "
"Canada","31","Area Harvested","1985","Ha","450.00000","F "
"Canada","41","Yield","1985","Hg/Ha","50533.00000","Fc"
"Canada","51","Production Quantity","1985","tonnes","2274.00000",""
"Chile","31","Area Harvested","1985","Ha","1650.00000",""
"Chile","41","Yield","1985","Hg/Ha","72727.00000","Fc"
"Chile","51","Production Quantity","1985","tonnes","12000.00000",""
"China","31","Area Harvested","1985","Ha","4438.00000",""
"China","41","Yield","1985","Hg/Ha","124236.00000",""
"China","51","Production Quantity","1985","tonnes","55136.00000",""
"China, mainland","31","Area Harvested","1985","Ha","0.00000","NR"
"China, mainland","41","Yield","1985","Hg/Ha","0.00000","NR"
"China, mainland","51","Production Quantity","1985","tonnes","0.00000","NR"
"Cyprus","31","Area Harvested","1985","Ha","201.00000",""
"Cyprus","41","Yield","1985","Hg/Ha","39800.00000","Fc"
"Cyprus","51","Production Quantity","1985","tonnes","800.00000",""
"Czechoslovakia","31","Area Harvested","1985","Ha","5150.00000","F "
"Czechoslovakia","41","Yield","1985","Hg/Ha","24627.00000","Fc"
"Czechoslovakia","51","Production Quantity","1985","tonnes","12683.00000",""
"Ecuador","31","Area Harvested","1985","Ha","63.00000","F "
"Ecuador","41","Yield","1985","Hg/Ha","47619.00000","Fc"
"Ecuador","51","Production Quantity","1985","tonnes","300.00000","F "
"Egypt","31","Area Harvested","1985","Ha","2100.00000",""
"Egypt","41","Yield","1985","Hg/Ha","109523.00000","Fc"
"Egypt","51","Production Quantity","1985","tonnes","23000.00000",""
"France","31","Area Harvested","1985","Ha","12692.00000",""
"France","41","Yield","1985","Hg/Ha","80759.00000","Fc"
"France","51","Production Quantity","1985","tonnes","102500.00000",""
"Germany","31","Area Harvested","1985","Ha","850.00000","F "
"Germany","41","Yield","1985","Hg/Ha","20623.00000","Fc"
"Germany","51","Production Quantity","1985","tonnes","1753.00000",""
"Greece","31","Area Harvested","1985","Ha","7425.00000",""
"Greece","41","Yield","1985","Hg/Ha","176874.00000","Fc"
"Greece","51","Production Quantity","1985","tonnes","131329.00000",""
"Guadeloupe","51","Production Quantity","1985","tonnes","36.00000",""
"Hungary","31","Area Harvested","1985","Ha","11000.00000","F "
"Hungary","41","Yield","1985","Hg/Ha","48910.00000","Fc"
"Hungary","51","Production Quantity","1985","tonnes","53801.00000",""
"India","31","Area Harvested","1985","Ha","1600.00000","F "
"India","41","Yield","1985","Hg/Ha","30000.00000","Fc"
"India","51","Production Quantity","1985","tonnes","4800.00000","F "
"Iran, Islamic Republic of","31","Area Harvested","1985","Ha","16504.00000","F "
"Iran, Islamic Republic of","41","Yield","1985","Hg/Ha","61090.00000","Fc"
"Iran, Islamic Republic of","51","Production Quantity","1985","tonnes","100823.00000","F "
"Iraq","31","Area Harvested","1985","Ha","7100.00000","F "
"Iraq","41","Yield","1985","Hg/Ha","45070.00000","Fc"
"Iraq","51","Production Quantity","1985","tonnes","32000.00000","F "
"Israel","31","Area Harvested","1985","Ha","830.00000",""
"Israel","41","Yield","1985","Hg/Ha","160240.00000","Fc"
"Israel","51","Production Quantity","1985","tonnes","13300.00000",""
"Italy","31","Area Harvested","1985","Ha","14470.00000",""
"Italy","41","Yield","1985","Hg/Ha","135176.00000","Fc"
"Italy","51","Production Quantity","1985","tonnes","195600.00000",""
"Japan","31","Area Harvested","1985","Ha","0.00000","NR"
"Japan","41","Yield","1985","Hg/Ha","0.00000","NR"
"Japan","51","Production Quantity","1985","tonnes","0.00000","NR"
"Jordan","31","Area Harvested","1985","Ha","100.00000","F "
"Jordan","41","Yield","1985","Hg/Ha","17999.00000","Fc"
"Jordan","51","Production Quantity","1985","tonnes","180.00000","F "
"Kenya","31","Area Harvested","1985","Ha","2.00000","F "
"Kenya","41","Yield","1985","Hg/Ha","50000.00000","Fc"
